Waktu,Nilai
12:01:21,0
12:01:22,0
12:01:23,0
12:01:24,0
12:01:25,41
12:01:26,37
12:01:27,35
12:01:28,36
12:01:29,31
12:01:30,26
12:01:31,27
12:01:32,33
12:01:33,56
12:01:34,54
12:01:35,50
12:01:36,21
12:01:37,-61
12:01:38,-62
12:01:39,84
12:01:40,363
12:01:41,496
12:01:42,496
12:01:43,400
12:01:44,-17
12:01:45,-62
12:01:46,-62
12:01:47,-62
12:01:48,-62
12:01:49,0
12:01:50,0
12:01:51,0
12:01:52,0
12:01:53,0
12:01:54,0
12:01:55,0
12:01:56,0
12:01:57,0
12:01:58,0
12:01:59,0
12:02:00,0
12:02:01,0
12:02:02,0
12:02:03,0
12:02:04,0
12:02:05,0
12:02:06,0
12:02:07,0
12:02:08,0
12:02:09,0
12:02:10,0
12:02:11,0
12:02:12,0
12:02:13,0
12:02:14,0
12:02:15,0
12:02:16,0
12:02:17,0
12:02:18,0
12:02:19,0
12:02:20,0
