Waktu,Nilai
10:55:37,0
10:55:38,0
10:55:39,0
10:55:40,0
10:55:41,3
10:55:42,-6
10:55:43,-9
10:55:44,0
10:55:45,-38
10:55:46,-176
10:55:47,-182
10:55:48,0
10:55:49,95
10:55:50,183
10:55:51,165
10:55:52,159
10:55:53,155
10:55:54,154
10:55:55,148
10:55:56,140
10:55:57,138
10:55:58,143
10:55:59,140
10:56:00,149
10:56:01,142
10:56:02,141
10:56:03,149
10:56:04,154
10:56:05,164
10:56:06,165
10:56:07,162
10:56:08,160
10:56:09,166
10:56:10,194
10:56:11,200
10:56:12,223
10:56:13,231
10:56:14,208
10:56:15,124
10:56:16,126
10:56:17,175
10:56:18,154
10:56:19,144
10:56:20,135
10:56:21,63
10:56:22,474
10:56:23,628
10:56:24,628
10:56:25,628
10:56:26,628
10:56:27,628
10:56:28,628
10:56:29,628
10:56:30,438
10:56:31,124
10:56:32,52
10:56:33,149
10:56:34,142
10:56:35,135
