Waktu,Nilai
12:21:01,33
12:21:02,37
12:21:03,-53
12:21:04,-79
12:21:05,-79
12:21:16,5
12:21:17,71
12:21:18,143
12:21:19,144
12:21:20,135
12:21:21,141
12:21:22,148
12:21:23,143
12:21:24,133
12:21:25,132
12:21:26,144
12:21:27,137
12:21:28,130
12:21:29,133
12:21:30,144
12:21:31,138
12:21:32,134
12:21:33,130
12:21:34,142
12:21:35,140
12:21:36,131
12:21:37,113
12:21:38,71
12:21:39,154
12:21:40,180
12:21:41,180
12:21:42,162
12:21:43,167
12:21:44,250
12:21:45,259
12:21:46,237
12:21:47,228
12:21:48,227
