Waktu,Nilai
15:14:25,0
15:14:26,0
15:14:27,0
15:14:28,0
15:14:29,0
15:14:30,0
15:14:32,0
15:14:33,0
15:14:34,0
15:14:35,0
15:14:36,0
15:14:37,0
15:14:38,0
15:14:39,0
15:14:40,0
15:14:41,0
15:14:42,0
15:14:43,0
15:14:44,0
15:14:45,0
15:14:46,0
15:14:47,91
15:14:48,150
15:14:49,145
15:14:50,140
15:14:51,142
15:14:52,149
15:14:53,149
15:14:54,141
15:14:55,153
15:14:56,162
15:14:57,162
15:14:58,160
15:14:59,147
15:15:00,130
15:15:01,130
15:15:02,134
15:15:03,118
15:15:04,100
15:15:05,95
15:15:06,98
15:15:07,89
15:15:08,81
15:15:09,90
15:15:10,90
15:15:11,92
15:15:12,98
15:15:13,91
15:15:14,83
15:15:15,79
15:15:16,86
15:15:17,93
15:15:18,102
15:15:19,110
15:15:20,102
15:15:21,96
15:15:22,87
15:15:23,76
15:15:24,69
15:15:25,78
