Waktu,Nilai
12:04:55,0
12:04:56,0
12:04:57,0
12:04:58,0
12:04:59,3
12:05:00,94
12:05:01,128
12:05:02,129
12:05:03,132
12:05:04,135
12:05:05,135
12:05:06,134
12:05:07,134
12:05:08,130
12:05:09,125
12:05:10,115
12:05:11,118
12:05:12,126
12:05:13,122
12:05:14,126
12:05:15,139
12:05:16,136
12:05:17,133
12:05:18,132
12:05:19,122
12:05:20,116
12:05:21,119
12:05:22,120
12:05:23,124
12:05:24,127
12:05:25,126
12:05:26,124
12:05:27,117
12:05:28,115
12:05:29,116
12:05:30,121
12:05:31,124
12:05:32,123
12:05:33,123
12:05:34,124
12:05:35,122
12:05:36,122
12:05:37,139
12:05:38,148
12:05:39,142
12:05:40,137
12:05:41,134
12:05:42,143
12:05:43,143
12:05:44,143
12:05:45,141
12:05:46,138
12:05:47,135
12:05:48,144
12:05:49,156
12:05:50,156
12:05:51,159
12:05:53,158
12:05:54,157
