Waktu,Nilai
13:29:19,0
13:29:20,0
13:29:21,0
13:29:22,0
13:29:23,71
13:29:24,178
13:29:25,177
13:29:26,166
13:29:27,159
13:29:28,159
13:29:29,172
13:29:30,175
13:29:31,174
13:29:32,175
13:29:33,172
13:29:34,163
13:29:35,154
13:29:36,163
13:29:37,175
13:29:38,177
13:29:39,168
13:29:40,155
13:29:41,124
13:29:42,26
13:29:43,-1
13:29:44,-1
13:29:45,-1
13:29:46,-1
13:29:47,0
13:29:48,8
13:29:49,133
13:29:50,159
13:29:51,149
13:29:52,151
13:29:53,158
13:29:54,45
13:29:55,0
13:29:56,0
13:29:57,0
13:29:58,0
13:29:59,1
13:30:00,2
13:30:01,2
13:30:02,2
13:30:03,2
13:30:04,2
13:30:05,1
13:30:06,1
13:30:07,1
13:30:08,1
13:30:09,1
13:30:10,1
13:30:11,0
13:30:12,0
13:30:13,0
13:30:14,0
13:30:15,28
13:30:16,195
13:30:17,132
