Waktu,Nilai
12:38:52,1
12:38:53,54
12:38:54,113
12:38:55,115
12:38:56,118
12:38:57,120
12:38:58,120
12:38:59,116
12:39:00,117
12:39:01,119
12:39:02,114
12:39:03,108
12:39:04,108
12:39:05,112
12:39:06,111
12:39:07,109
12:39:08,109
12:39:09,119
12:39:10,128
12:39:11,125
12:39:12,122
12:39:13,126
12:39:14,128
12:39:15,123
12:39:16,120
12:39:17,121
12:39:18,122
12:39:19,124
12:39:20,128
12:39:21,131
12:39:22,148
12:39:23,181
12:39:24,179
12:39:25,188
12:39:26,180
12:39:27,168
12:39:28,176
12:39:29,196
12:39:30,195
12:39:31,196
12:39:32,200
12:39:33,193
12:39:34,193
12:39:35,202
12:39:36,213
12:39:37,206
12:39:38,210
12:39:39,219
12:39:40,222
12:39:41,219
12:39:42,214
12:39:43,212
12:39:44,216
12:39:45,217
12:39:46,209
12:39:47,207
