Waktu,Nilai
13:10:40,0
13:10:41,0
13:10:42,0
13:10:43,0
13:10:44,131
13:10:45,130
13:10:46,127
13:10:47,129
13:10:48,134
13:10:49,61
13:10:50,-55
13:10:51,-55
13:10:52,-52
13:10:53,-53
13:10:54,0
13:10:55,0
13:10:56,41
13:10:57,101
13:10:58,27
13:10:59,0
13:11:00,0
13:11:01,46
13:11:02,87
13:11:03,88
13:11:04,83
13:11:05,3
13:11:06,-39
13:11:07,-82
13:11:08,-83
13:11:09,-82
13:11:10,0
13:11:11,0
13:11:12,29
13:11:13,4
13:11:14,0
13:11:15,0
13:11:16,0
13:11:17,0
13:11:18,0
13:11:19,0
13:11:20,50
13:11:21,87
13:11:22,78
13:11:23,43
13:11:24,0
13:11:25,40
13:11:26,58
13:11:27,-20
13:11:28,-25
13:11:29,-25
13:11:30,0
13:11:31,0
13:11:32,0
13:11:33,0
13:11:34,0
13:11:35,0
13:11:36,0
13:11:37,0
13:11:38,0
