Waktu,Nilai
12:32:05,4
12:32:06,54
12:32:07,108
12:32:08,101
12:32:09,97
12:32:10,97
12:32:11,96
12:32:12,96
12:32:13,100
12:32:14,126
12:32:15,133
12:32:16,127
12:32:17,131
12:32:18,137
12:32:19,139
12:32:20,140
12:32:21,141
12:32:22,151
12:32:23,159
12:32:24,157
12:32:25,155
12:32:26,154
12:32:27,164
12:32:28,155
12:32:29,142
12:32:30,149
12:32:31,153
12:32:32,153
12:32:33,152
12:32:34,184
12:32:35,208
12:32:36,197
12:32:37,181
12:32:38,173
12:32:39,134
12:32:40,128
12:32:41,141
12:32:42,147
12:32:43,146
12:32:44,173
12:32:45,176
12:32:46,160
12:32:47,179
12:32:48,183
12:32:49,184
12:32:50,209
12:32:51,212
12:32:52,229
12:32:53,249
12:32:54,245
12:32:55,250
12:32:56,256
12:32:57,260
12:32:58,268
