Waktu,Nilai
15:20:03,0
15:20:04,0
15:20:05,0
15:20:06,0
15:20:07,0
15:20:08,0
15:20:09,0
15:20:10,0
15:20:11,0
15:20:12,0
15:20:13,0
15:20:14,0
15:20:15,0
15:20:16,0
15:20:17,0
15:20:18,0
15:20:19,0
15:20:20,0
15:20:21,0
15:20:22,0
15:20:23,0
15:20:24,0
15:20:25,0
15:20:26,-1
15:20:27,-1
15:20:28,0
15:20:29,-1
15:20:30,0
15:20:31,0
15:20:32,0
15:20:33,0
15:20:34,0
15:20:35,0
15:20:36,0
15:20:37,0
15:20:38,0
15:20:39,-1
15:20:40,-1
15:20:41,-1
15:20:42,-1
15:20:43,0
15:20:44,0
15:20:45,0
15:20:46,0
15:20:48,5
15:20:49,55
15:20:50,71
15:20:51,74
15:20:52,77
15:20:53,83
15:20:54,83
15:20:55,45
15:20:56,23
15:20:57,0
15:20:58,0
15:20:59,0
15:21:00,0
15:21:01,0
15:21:02,0
15:21:03,0
15:21:04,0
15:21:05,0
15:21:06,0
15:21:07,0
15:21:08,2
15:21:09,57
15:21:10,82
15:21:11,91
15:21:12,110
15:21:13,134
15:21:14,132
15:21:15,99
15:21:16,13
15:21:17,0
15:21:18,7
15:21:19,41
15:21:20,72
15:21:21,72
15:21:22,72
15:21:23,72
15:21:24,72
15:21:25,72
15:21:26,72
15:21:27,72
15:21:28,72
15:21:29,72
15:21:30,72
15:21:31,72
15:21:32,72
15:21:33,72
15:21:34,72
15:21:35,72
15:21:36,72
15:21:37,72
15:21:38,72
15:21:39,72
15:21:40,72
15:21:41,72
15:21:42,72
15:21:43,72
15:21:44,72
15:21:45,72
15:21:46,73
15:21:47,83
15:21:48,84
15:21:49,84
15:21:50,84
15:21:51,84
15:21:52,84
15:21:53,84
15:21:54,84
15:21:55,84
15:21:56,84
15:21:57,84
15:21:58,84
15:21:59,84
15:22:00,84
15:22:01,84
15:22:02,84
15:22:03,84
15:22:04,84
15:22:05,84
15:22:06,84
15:22:07,84
15:22:08,84
15:22:09,84
15:22:10,84
15:22:11,84
15:22:12,84
15:22:13,84
15:22:14,84
15:22:15,84
15:22:16,84
15:22:17,84
15:22:18,84
15:22:19,84
15:22:20,84
15:22:21,84
15:22:22,84
15:22:23,84
15:22:24,84
15:22:25,84
15:22:26,84
15:22:27,84
15:22:28,84
15:22:29,84
15:22:30,84
15:22:31,84
15:22:32,84
15:22:33,84
15:22:34,84
15:22:35,84
15:22:36,84
15:22:37,84
15:22:38,84
15:22:39,84
15:22:40,84
15:22:41,84
15:22:42,84
15:22:43,84
15:22:44,84
15:22:45,84
15:22:46,84
15:22:47,84
15:22:48,84
15:22:49,84
15:22:50,84
15:22:51,84
15:22:52,84
15:22:53,84
15:22:54,84
15:22:55,84
15:22:56,84
15:22:57,84
15:22:58,84
15:22:59,84
15:23:00,84
15:23:01,84
15:23:02,84
15:23:03,84
15:23:04,94
15:23:05,98
15:23:06,90
15:23:07,90
15:23:08,90
15:23:09,90
15:23:10,90
15:23:11,90
15:23:12,90
15:23:13,90
15:23:14,90
15:23:15,90
15:23:16,90
15:23:17,90
15:23:18,90
15:23:19,90
15:23:20,99
15:23:21,103
15:23:22,103
15:23:23,101
15:23:24,100
15:23:25,100
15:23:26,100
15:23:27,100
15:23:28,100
15:23:29,100
15:23:30,100
15:23:31,100
15:23:32,100
15:23:33,100
15:23:34,100
15:23:35,100
15:23:36,100
15:23:37,100
15:23:38,100
15:23:39,100
15:23:40,100
15:23:41,100
15:23:42,100
15:23:43,100
15:23:44,100
15:23:45,100
15:23:46,100
15:23:47,100
15:23:48,100
15:23:49,100
15:23:50,100
15:23:51,100
15:23:52,100
15:23:53,100
15:23:54,100
15:23:55,100
15:23:56,100
15:23:57,100
15:23:58,100
15:23:59,100
15:24:00,100
15:24:01,100
15:24:02,100
15:24:03,100
15:24:04,100
15:24:05,100
15:24:06,100
15:24:07,100
15:24:08,100
15:24:09,100
15:24:10,100
15:24:12,100
15:24:13,100
15:24:14,100
15:24:15,100
15:24:16,100
15:24:17,100
15:24:18,100
15:24:19,100
15:24:20,100
15:24:21,100
15:24:22,101
15:24:23,100
15:24:24,100
15:24:25,100
15:24:26,100
15:24:27,100
15:24:28,100
15:24:29,100
15:24:30,100
15:24:31,100
15:24:32,101
15:24:33,101
15:24:34,100
15:24:35,100
15:24:36,100
15:24:37,100
15:24:38,100
15:24:39,100
15:24:40,100
15:24:41,100
15:24:42,100
15:24:43,100
15:24:44,100
15:24:45,100
15:24:46,100
15:24:47,100
15:24:48,100
15:24:49,100
15:24:50,100
15:24:51,100
15:24:52,100
15:24:53,100
15:24:54,100
15:24:55,100
15:24:56,100
15:24:57,101
15:24:58,101
15:24:59,100
15:25:00,100
15:25:01,100
15:25:02,100
