Waktu,Nilai
13:28:05,0
13:28:06,0
13:28:07,0
13:28:08,0
13:28:09,0
13:28:10,0
13:28:11,7
13:28:12,21
13:28:13,26
13:28:14,28
13:28:15,33
13:28:16,39
13:28:17,40
13:28:18,52
13:28:19,54
13:28:20,57
13:28:21,64
13:28:22,64
13:28:23,70
13:28:24,79
13:28:25,84
13:28:26,90
13:28:27,92
13:28:28,97
