Waktu,Nilai
22:02:33,0,0.99
22:02:34,0,0.983
22:02:35,0,0.99
22:02:36,0,0.98
22:02:37,-0.05,0.994
22:02:38,-0.03,0.99
22:02:39,-0.05,0.971
22:02:40,-0.08,0.992
22:02:41,-0.06,0.979
22:02:42,-0.05,0.987
22:02:43,-0.07,0.982
22:02:44,-0.08,0.972
22:02:45,-0.09,0.971
22:02:46,-0.07,0.958
22:02:47,0.24,0.986
22:02:48,0.26,0.971
22:02:49,0.14,0.98
22:02:50,0.45,0.98
22:02:51,0.18,0.974
22:02:52,0.24,0.99
22:02:53,0.26,0.968
22:02:54,-0.03,0.979
22:02:55,-0.05,0.976
22:02:56,-0.03,0.962
22:02:57,-0.03,0.975
22:02:58,-0.03,0.97
22:02:59,-0.01,0.969
22:03:00,0.01,0.986
22:03:01,-0.03,0.985
22:03:02,-0.07,0.99
22:03:03,-0.09,0.984
22:03:04,-0.03,0.989
22:03:05,-0.03,0.987
22:03:06,-0.06,0.97
22:03:07,-0.06,0.979
22:03:08,-0.07,0.985
22:03:09,0.01,0.984
22:03:10,-0.0,0.982
22:03:11,-0.08,0.989
22:03:12,-0.03,0.981
22:03:13,-0.02,0.974
22:03:14,-0.03,0.989
22:03:15,-0.01,0.986
22:03:16,-0.01,0.99
22:03:17,-0.04,0.987
22:03:18,-0.05,0.995
22:03:19,-0.06,0.983
22:03:20,-0.02,0.985
22:03:21,-0.03,0.98
22:03:22,-0.07,0.982
22:03:23,-0.05,0.971
22:03:24,-0.03,0.98
22:03:25,-0.05,0.969
22:03:26,-0.02,0.983
22:03:27,-0.03,0.977
22:03:28,-0.07,0.973
22:03:29,-0.04,0.988
22:03:30,-0.02,0.978
22:03:31,-0.02,0.994
22:03:32,-0.04,0.982
22:03:33,-0.05,0.983
22:03:34,-0.03,0.986
22:03:35,-0.03,0.971
22:03:36,-0.04,0.983
22:03:37,-0.07,0.975
22:03:38,-0.05,0.985
22:03:39,-0.04,0.984
22:03:40,-0.06,0.975
22:03:41,-0.08,0.987
22:03:42,-0.1,0.982
22:03:43,-0.08,0.99
22:03:44,-0.11,0.989
22:03:45,-0.14,0.975
22:03:46,-0.08,0.963
22:03:47,-0.08,0.944
22:03:48,-0.1,0.979
22:03:49,-0.09,0.986
22:03:50,-0.13,0.994
22:03:51,-0.1,0.992
22:03:52,-0.05,0.991
22:03:53,-0.04,0.979
22:03:54,-0.06,0.974
22:03:55,-0.07,0.979
22:03:56,-0.06,0.982
22:03:57,-0.06,0.98
22:03:58,-0.06,0.982
22:03:59,-0.01,0.988
22:04:00,-0.01,0.966
22:04:01,-0.01,0.98
22:04:02,-0.05,0.979
22:04:03,-0.07,0.991
22:04:04,-0.06,0.983
22:04:05,-0.06,0.994
22:04:06,-0.08,0.991
22:04:07,-0.08,0.966
22:04:08,-0.04,0.968
22:04:09,-0.02,0.951
22:04:10,-0.05,0.969
22:04:11,-0.06,0.973
22:04:12,-0.06,0.993
22:04:13,-0.05,0.991
22:04:14,0.01,0.986
22:04:15,-0.03,0.983
22:04:16,-0.09,0.989
22:04:17,-0.09,0.974
22:04:18,-0.04,0.985
22:04:19,-0.01,0.981
22:04:20,-0.07,0.974
22:04:21,-0.06,0.984
22:04:22,-0.05,0.983
22:04:23,-0.06,0.983
22:04:24,-0.06,0.985
22:04:25,-0.07,0.982
22:04:26,-0.06,0.982
22:04:27,-0.07,0.982
22:04:28,-0.09,0.988
22:04:29,-0.09,0.969
22:04:30,-0.09,0.955
22:04:31,-0.04,0.937
22:04:32,-0.08,0.965
22:04:33,-0.05,0.96
22:04:34,-0.02,0.97
22:04:35,-0.02,0.976
22:04:36,-0.09,0.975
22:04:37,-0.08,0.967
22:04:38,-0.03,0.978
22:04:39,-0.06,0.988
22:04:40,-0.09,0.971
22:04:41,-0.08,0.977
22:04:43,-0.08,0.989
22:04:44,-0.07,0.981
22:04:45,-0.08,0.989
22:04:46,-0.13,0.984
22:04:47,-0.09,0.989
22:04:48,-0.06,0.984
22:04:49,-0.02,0.985
22:04:50,-0.05,0.987
22:04:51,-0.04,0.966
22:04:52,-0.09,0.987
22:04:53,-0.11,0.981
22:04:54,-0.09,0.982
22:04:55,-0.07,0.97
22:04:56,-0.08,0.981
22:04:57,-0.07,0.963
22:04:58,-0.02,0.963
22:04:59,-0.08,0.964
22:05:00,-0.11,0.976
22:05:01,-0.08,0.976
22:05:02,-0.07,0.975
22:05:03,-0.12,0.993
22:05:04,-0.1,0.984
22:05:05,-0.07,0.988
22:05:06,-0.07,0.981
22:05:07,-0.03,0.965
22:05:08,-0.05,0.979
22:05:09,-0.09,0.977
22:05:10,-0.06,0.983
22:05:11,-0.03,0.98
22:05:12,-0.05,0.98
22:05:13,-0.03,0.972
22:05:14,-0.03,0.972
22:05:15,-0.06,0.972
22:05:16,-0.07,0.961
22:05:17,-0.06,0.977
22:05:18,-0.04,0.935
22:05:19,-0.06,0.984
22:05:20,-0.08,0.985
22:05:21,-0.06,0.989
22:05:22,-0.06,0.985
22:05:23,-0.09,0.985
22:05:24,-0.07,0.982
22:05:25,-0.07,0.975
22:05:26,-0.05,0.988
22:05:27,-0.06,0.972
22:05:28,-0.08,0.976
22:05:29,-0.03,0.971
22:05:30,-0.05,0.974
22:05:31,-0.1,0.965
22:05:32,-0.06,0.971
22:05:33,-0.07,0.965
22:05:34,-0.04,0.973
22:05:35,-0.06,0.987
22:05:36,-0.04,0.953
22:05:37,-0.04,0.986
22:05:38,-0.07,0.977
22:05:39,-0.08,0.981
22:05:40,-0.09,0.993
22:05:41,-0.12,0.985
22:05:42,-0.11,0.988
22:05:43,-0.05,0.989
22:05:44,-0.09,0.983
22:05:45,-0.1,0.976
22:05:46,-0.1,0.965
22:05:47,-0.07,0.985
22:05:48,-0.07,0.979
22:05:49,-0.09,0.987
22:05:50,-0.09,0.993
22:05:51,-0.06,0.983
22:05:52,-0.03,0.993
22:05:53,-0.05,0.994
22:05:54,-0.06,0.984
22:05:55,-0.05,0.992
22:05:56,-0.07,0.983
22:05:57,-0.08,0.981
22:05:58,-0.06,0.963
22:05:59,-0.07,0.976
22:06:00,-0.06,0.978
22:06:01,-0.04,0.966
22:06:02,-0.09,0.984
22:06:03,-0.11,0.986
22:06:04,-0.06,0.989
22:06:05,-0.02,0.986
22:06:06,-0.06,0.987
22:06:07,-0.08,0.969
22:06:08,-0.09,0.968
22:06:09,-0.07,0.961
22:06:10,-0.1,0.982
22:06:11,-0.11,0.979
22:06:12,-0.08,0.977
22:06:13,-0.07,0.987
22:06:14,-0.1,0.965
22:06:15,-0.08,0.981
22:06:16,-0.05,0.97
22:06:17,-0.04,0.974
22:06:18,-0.05,0.982
22:06:19,-0.07,0.985
22:06:20,-0.05,0.986
22:06:21,-0.08,0.988
22:06:22,-0.07,0.988
22:06:23,-0.09,0.966
22:06:24,-0.1,0.977
22:06:25,-0.04,0.976
22:06:26,-0.05,0.981
22:06:27,-0.08,0.977
22:06:28,-0.09,0.98
22:06:29,-0.08,0.983
22:06:30,-0.05,0.981
22:06:31,-0.08,0.98
22:06:32,-0.07,0.977
22:06:33,-0.08,0.973
22:06:34,-0.1,0.978
22:06:35,-0.08,0.978
22:06:36,-0.11,0.987
22:06:37,-0.11,0.976
22:06:38,-0.1,0.983
22:06:39,-0.1,0.984
22:06:40,-0.07,0.986
22:06:41,-0.04,0.977
22:06:42,-0.09,0.983
22:06:43,-0.12,0.968
22:06:44,-0.1,0.978
22:06:45,-0.09,0.959
22:06:46,-0.09,0.957
22:06:47,-0.12,0.938
22:06:48,-0.12,0.941
22:06:49,-0.08,0.954
22:06:50,-0.07,0.948
22:06:51,-0.09,0.97
22:06:52,-0.1,0.974
22:06:53,-0.13,0.97
22:06:54,-0.13,0.964
22:06:55,-0.08,0.968
22:06:56,-0.09,0.965
22:06:57,-0.11,0.964
22:06:58,-0.08,0.985
22:06:59,-0.1,0.965
22:07:00,-0.09,0.979
22:07:01,-0.04,0.976
22:07:02,-0.07,0.974
22:07:03,-0.06,0.984
22:07:04,-0.05,0.972
22:07:05,-0.08,0.983
22:07:06,-0.05,0.984
22:07:07,-0.07,0.985
22:07:08,-0.05,0.988
22:07:09,-0.09,0.95
22:07:10,-0.07,0.934
22:07:11,-0.05,0.958
22:07:12,-0.08,0.966
22:07:13,-0.13,0.979
22:07:14,-0.09,0.988
22:07:15,-0.05,0.977
22:07:16,-0.09,0.979
22:07:17,-0.1,0.976
22:07:18,-0.06,0.982
22:07:19,-0.07,0.982
22:07:20,-0.04,0.973
22:07:21,-0.06,0.962
22:07:22,-0.11,0.933
22:07:23,-0.1,0.948
22:07:24,-0.11,0.976
22:07:25,-0.09,0.951
22:07:26,-0.07,0.975
22:07:27,-0.08,0.979
22:07:28,-0.1,0.982
22:07:29,-0.13,0.991
22:07:30,-0.09,0.987
22:07:32,-0.13,0.986
