Waktu,Vol ASI,Relaksasi EEG,Relaksasi User
14:49:18,0,0.988,0
14:49:19,0,0.962,0
14:49:21,0,0.986,0
14:49:22,0,0.954,0
14:49:23,0,0.988,0
14:49:24,0,0.964,0
14:49:25,0,0.985,0
14:49:26,0,0.971,0
14:49:27,0,0.989,0
14:49:28,0,0.978,0
14:49:29,0,0.985,0
14:49:30,0,0.982,0
14:49:31,0,0.982,0
14:49:32,0,0.987,0
14:49:33,0,0.98,0
14:49:34,0,0.987,0
14:49:35,0,0.969,0
14:49:36,2,0.986,0
14:49:37,126,0.967,0
14:49:38,126,0.986,0
14:49:39,126,0.963,0
14:49:40,126,0.986,0
14:49:41,126,0.97,0
14:49:42,126,0.989,0
14:49:43,126,0.977,0
14:49:44,126,0.99,0
14:49:45,126,0.973,0
14:49:46,126,0.986,0
14:49:47,126,0.984,0
14:49:48,126,0.978,0
14:49:49,126,0.986,0
14:49:50,126,0.972,0
14:49:51,126,0.988,0
14:49:52,126,0.965,0
14:49:53,126,0.99,0
14:49:54,126,0.967,0
14:49:55,126,0.988,0
14:49:56,126,0.975,0
14:49:57,126,0.985,0
14:49:58,126,0.985,0
14:49:59,126,0.979,0
14:50:00,126,0.99,0
14:50:01,126,0.976,0
14:50:02,126,0.99,0
14:50:03,126,0.971,0
14:50:04,126,0.989,0
14:50:05,126,0.97,0
14:50:06,126,0.988,0
14:50:07,126,0.979,0
14:50:08,126,0.98,0
14:50:09,126,0.987,0
14:50:10,126,0.97,0
14:50:11,126,0.99,0
14:50:12,126,0.967,0
14:50:13,126,0.991,0
14:50:14,126,0.975,0
14:50:15,126,0.985,0
14:50:16,126,0.987,0
14:50:17,126,0.971,0
14:50:18,126,0.988,0
14:50:19,126,0.96,0
14:50:20,126,0.987,0
14:50:21,126,0.968,0
14:50:22,126,0.986,0
14:50:23,126,0.984,0
14:50:24,126,0.974,0
14:50:25,126,0.988,0
14:50:26,126,0.96,0
14:50:27,126,0.986,0
14:50:28,126,0.971,0
14:50:29,126,0.982,0
14:50:30,126,0.985,0
14:50:31,126,0.973,0
14:50:32,126,0.99,0
14:50:33,126,0.973,0
14:50:34,126,0.986,0
14:50:35,126,0.987,0
14:50:36,126,0.968,0
14:50:37,126,0.988,0
14:50:38,126,0.967,0
14:50:39,126,0.982,0
14:50:40,126,0.984,0
14:50:41,126,0.97,0
14:50:42,126,0.988,0
14:50:43,126,0.966,0
14:50:44,126,0.984,0
14:50:45,126,0.987,0
14:50:46,126,0.97,0
14:50:47,126,0.987,0
14:50:48,126,0.969,0
14:50:49,126,0.983,0
14:50:50,126,0.99,0
14:50:51,126,0.973,0
14:50:52,126,0.99,0
14:50:53,126,0.973,0
14:50:54,126,0.984,0
14:50:55,126,0.991,0
14:50:56,126,0.971,0
14:50:57,126,0.991,0
14:50:58,126,0.973,0
14:50:59,126,0.979,0
14:51:00,126,0.987,0
14:51:01,126,0.969,0
14:51:02,126,0.987,0
14:51:03,126,0.978,0
14:51:04,126,0.981,0
14:51:05,126,0.989,0
14:51:06,126,0.964,0
14:51:07,126,0.988,0
14:51:08,126,0.973,0
14:51:09,126,0.976,0
14:51:10,126,0.984,0
14:51:11,126,0.966,0
14:51:12,126,0.986,0
14:51:13,126,0.981,0
14:51:14,126,0.985,0
14:51:15,126,0.993,0
14:51:16,126,0.972,0
14:51:17,126,0.991,0
14:51:18,126,0.969,0
14:51:19,126,0.975,0
14:51:20,126,0.982,0
14:51:21,126,0.963,0
14:51:22,126,0.983,0
14:51:23,126,0.979,0
14:51:24,126,0.979,0
14:51:25,126,0.99,0
14:51:26,126,0.97,0
14:51:27,126,0.988,0
14:51:28,126,0.981,0
14:51:29,126,0.979,0
14:51:30,126,0.989,0
14:51:31,126,0.973,0
14:51:32,126,0.986,0
14:51:33,126,0.988,0
14:51:34,126,0.975,0
14:51:35,126,0.99,0
14:51:36,126,0.97,0
14:51:37,126,0.984,0
14:51:38,126,0.985,0
14:51:39,126,0.964,0
14:51:40,126,0.985,0
14:51:41,126,0.977,0
14:51:42,126,0.983,0
14:51:43,126,0.992,0
14:51:44,126,0.977,0
14:51:45,126,0.987,0
14:51:46,126,0.984,0
14:51:47,126,0.976,0
14:51:48,126,0.99,0
14:51:49,126,0.972,0
14:51:50,126,0.984,0
14:51:51,126,0.985,0
14:51:52,126,0.965,0
