Waktu,Nilai
16:57:49,0,0
16:57:50,0,0.9640124702001145
16:57:51,0,0.9817654326283506
16:57:52,0,0.9624655102586862
16:57:53,-0.029870474711060524,0.9840083414574592
16:57:54,10.42386245727539,0.9831289159757074
16:57:55,97.86595153808594,0.9846707536868343
16:57:57,134.2537841796875,0.9769876122190424
16:57:58,174.791748046875,0.9824224972906892
16:57:59,187.6920623779297,0.9839358701166951
16:58:00,108.8694839477539,0.982907808856095
16:58:01,15.066854476928711,0.984687414266691
16:58:02,-0.08214380592107773,0.9791293563667295
16:58:03,0.017735594883561134,0.9868991244033407
16:58:04,-0.037338096648454666,0.9716620882583126
16:58:05,0.012134880758821964,0.9830728477433462
16:58:06,0.0009334523347206414,0.9719571154453397
16:58:07,0.012134880758821964,0.9903907762991093
16:58:08,0.004667262081056833,0.9831221665705591
16:58:09,-0.037338096648454666,0.9854205822916016
16:58:10,-0.028003569692373276,0.9718030910036961
16:58:11,0.019602498039603233,0.9871234737374153
16:58:12,-0.025203214958310127,0.9853565655464847
16:58:13,-0.037338096648454666,0.9887465655359701
16:58:14,-0.018669048324227333,0.9871671792478093
16:58:15,-0.06254130601882935,0.988056979293589
16:58:16,-0.050406429916620255,0.9789610532847662
16:58:17,0.013068332336843014,0.983975869081848
16:58:18,-0.04573916643857956,0.9573366689029216
16:58:19,-0.007467618677765131,0.9785146117867899
16:58:20,0.027070118114352226,0.9705116885016603
16:58:21,-0.06347475945949554,0.982451396099256
16:58:22,-0.03173737972974777,0.9703614602002064
16:58:23,0.05414023622870445,0.9812964509680513
