Waktu,Nilai
14:51:00,0
14:51:01,0
14:51:02,0
14:51:03,0
14:51:04,14
14:51:05,49
14:51:06,53
14:51:07,59
14:51:08,60
14:51:09,58
14:51:10,54
14:51:11,59
14:51:12,59
14:51:13,60
14:51:14,61
14:51:15,61
14:51:16,61
14:51:17,63
14:51:18,62
14:51:19,61
14:51:20,64
14:51:21,68
14:51:22,67
14:51:23,70
14:51:24,74
14:51:25,75
14:51:26,80
14:51:27,84
14:51:28,84
14:51:29,90
14:51:30,95
14:51:31,96
14:51:32,96
14:51:33,98
14:51:34,86
14:51:35,78
14:51:36,90
14:51:37,89
14:51:38,100
14:51:39,114
14:51:40,109
14:51:41,106
14:51:42,107
14:51:43,110
14:51:44,114
14:51:45,120
14:51:46,120
14:51:47,121
14:51:48,118
14:51:49,113
14:51:50,114
14:51:51,120
14:51:52,126
14:51:53,125
14:51:54,125
14:51:55,128
14:51:56,125
14:51:57,124
14:51:58,126
