Waktu,Nilai
15:40:58,0
15:40:59,0
15:41:00,0
15:41:01,0
15:41:02,0
15:41:03,0
15:41:04,26
15:41:05,85
15:41:06,87
15:41:07,89
15:41:08,90
15:41:09,100
15:41:10,105
15:41:11,104
15:41:12,106
15:41:13,111
15:41:14,116
15:41:15,119
15:41:16,120
15:41:17,127
15:41:18,131
15:41:19,131
15:41:20,130
15:41:21,132
15:41:22,133
15:41:23,129
15:41:24,128
15:41:25,131
15:41:26,131
15:41:27,145
15:41:28,157
15:41:29,153
15:41:30,148
15:41:31,141
15:41:32,148
15:41:33,150
15:41:34,152
15:41:36,160
15:41:37,169
15:41:38,171
15:41:39,161
15:41:40,160
15:41:41,161
15:41:42,162
15:41:43,166
15:41:44,168
15:41:45,168
15:41:46,165
15:41:47,167
15:41:48,173
15:41:49,179
15:41:50,182
15:41:51,185
15:41:52,189
15:41:53,188
15:41:54,187
15:41:55,186
15:41:56,205
15:41:57,213
15:41:58,205
