Waktu,Nilai
13:11:06,2
13:11:07,25
13:11:08,8
13:11:10,15
13:11:11,72
13:11:12,114
13:11:13,112
13:11:14,106
13:11:15,-4
13:11:16,-39
13:11:17,-101
