Waktu,Nilai
12:41:13,38
12:41:15,39
12:41:16,13
12:41:17,8
12:41:18,4
12:41:19,2
12:41:20,3
12:41:21,2
12:41:22,3
12:41:23,5
12:41:24,6
12:41:25,4
12:41:26,3
12:41:27,5
12:41:28,7
12:41:29,22
12:41:30,-62
12:41:31,-137
12:41:32,-137
12:41:33,-137
12:41:34,2
12:41:35,65
12:41:36,118
12:41:37,120
12:41:38,122
12:41:39,126
12:41:40,127
12:41:41,129
12:41:42,177
12:41:43,250
12:41:44,316
12:41:45,248
12:41:46,258
12:41:47,296
12:41:48,172
12:41:49,201
12:41:50,211
12:41:51,260
12:41:52,281
12:41:53,218
12:41:54,254
12:41:55,202
12:41:56,263
12:41:57,264
12:41:58,267
12:41:59,278
12:42:00,294
12:42:01,289
12:42:02,276
12:42:03,286
12:42:04,300
12:42:05,310
12:42:06,325
12:42:07,316
12:42:08,290
12:42:09,288
