Waktu,Nilai
14:36:19,0
14:36:20,0
14:36:21,0
14:36:22,0
14:36:23,1
14:36:24,20
14:36:25,44
14:36:26,45
14:36:27,48
14:36:28,65
14:36:29,74
14:36:30,82
14:36:31,84
14:36:32,90
14:36:33,112
