Waktu,Nilai
11:56:20,16
11:56:21,60
11:56:22,90
11:56:23,104
11:56:24,127
11:56:25,148
11:56:26,150
11:56:27,152
11:56:28,159
11:56:29,205
11:56:30,207
11:56:31,188
11:56:32,176
11:56:33,174
